E_Ha,DOS,Occupation,E_eV,E_minus_EF
,,,,
,,,,
0.02765057,8e-05,0.016,0.7524103401917284,-9.75268186027494
0.02865057,0.0,0.0,0.7796217264377164,-9.725470474028953
0.02965057,0.0,0.0,0.8068331126837044,-9.698259087782963
0.03065057,0.0,0.0,0.8340444989296923,-9.671047701536976
0.03165057,0.0,0.0,0.8612558851756804,-9.643836315290988
0.03265057,0.0,0.0,0.8884672714216683,-9.616624929045
0.03365057,0.0,0.0,0.9156786576676563,-9.589413542799011
0.03465057,0.00024,0.048,0.9428900439136444,-9.562202156553024
0.03565057,0.0,0.0,0.9701014301596323,-9.534990770307036
0.03665057,0.0,0.0,0.9973128164056204,-9.507779384061049
0.03765057,0.0,0.0,1.0245242026516084,-9.48056799781506
0.03865057,0.0,0.0,1.0517355888975963,-9.453356611569072
0.03965057,0.0,0.0,1.0789469751435845,-9.426145225323085
0.04065057,0.0,0.0,1.1061583613895722,-9.398933839077095
0.04165057,0.0,0.0,1.1333697476355604,-9.371722452831108
0.04265057,0.00024,0.048,1.1605811338815484,-9.34451106658512
0.04365057,0.0,0.0,1.1877925201275363,-9.317299680339133
0.04465057,0.0,0.0,1.2150039063735243,-9.290088294093144
0.04565057,0.0,0.0,1.2422152926195125,-9.262876907847156
0.04665057,0.0,0.0,1.2694266788655004,-9.235665521601168
0.04765057,0.0,0.0,1.2966380651114884,-9.20845413535518
0.04865057,0.0,0.0,1.3238494513574763,-9.181242749109192
0.04965057,8e-05,0.016,1.3510608376034643,-9.154031362863204
0.05065057,0.00024,0.048,1.3782722238494522,-9.126819976617217
0.05165057,0.0,0.0,1.4054836100954404,-9.099608590371227
0.05265057,0.0,0.0,1.4326949963414284,-9.07239720412524
0.05365057,0.0,0.0,1.4599063825874163,-9.045185817879252
0.05465057,0.0,0.0,1.4871177688334045,-9.017974431633263
0.05565057,0.0,0.0,1.5143291550793925,-8.990763045387276
0.05665057,0.0,0.0,1.5415405413253802,-8.963551659141288
0.05765057,0.00048,0.096,1.5687519275713684,-8.9363402728953
0.05865057,0.0,0.0,1.5959633138173563,-8.909128886649313
0.05965057,0.0,0.0,1.6231747000633443,-8.881917500403324
0.06065057,0.0,0.0,1.6503860863093325,-8.854706114157336
0.06165057,0.0,0.0,1.6775974725553204,-8.827494727911349
0.06265057,0.0,0.0,1.7048088588013084,-8.80028334166536
0.06365057,0.0,0.0,1.7320202450472963,-8.773071955419372
0.06465057,0.00024,0.048,1.7592316312932845,-8.745860569173384
0.06565057,0.0,0.0,1.7864430175392725,-8.718649182927397
0.06665057,0.0,0.0,1.8136544037852604,-8.691437796681408
0.06765057,0.0,0.0,1.8408657900312482,-8.66422641043542
0.06865057,0.0,0.0,1.8680771762772361,-8.637015024189433
0.06965057,0.0,0.0,1.8952885625232243,-8.609803637943443
0.07065057,0.0,0.0,1.9224999487692123,-8.582592251697456
0.07165057,0.0,0.0,1.9497113350152002,-8.555380865451468
0.07265057,0.00024,0.048,1.9769227212611882,-8.52816947920548
0.07365057,0.00024,0.048,2.004134107507176,-8.500958092959493
0.07465057,0.0,0.0,2.0313454937531645,-8.473746706713504
